Gene_ID,mean,lower,upper,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,gene_symbol
ENSG00000198886,2.462537523747087e-5,0,0,1178956.8683422052,-2.021311226312229,0.763628366496004,-2.646982897698322,0.008121346013885242,0.08482443142024547,Sí,
ENSG00000198888,-4.457709104612059e-5,0,0,600375.4575415789,-2.332718113570739,0.8614589966273906,-2.707869002127,0.00677167452910769,0.07504780189297883,Sí,
ENSG00000198899,-2.2533895454988497e-4,-0.0025,0,677611.0523685587,-2.22974392743487,0.8156796915699198,-2.7336023570028245,0.006264564877935192,0.07167941470843443,Sí,
ENSG00000198959,6.020995877884207e-4,0,0.010873127313836177,3438.6188486278907,4.0893474409127055,0.7812004741481654,5.234696567960742,1.6525611854110298e-7,3.086563053261327e-5,Sí,
ENSG00000203497,0.001053801235771813,0,0.018121878856393638,109.61355009975946,-1.3978100531630577,0.4968401364446899,-2.813400026748176,0.004902062650085813,0.06176534097009578,Sí,
ENSG00000203739,6.149084464542133e-4,-0.0013124999999999964,0.01596990574219679,56.00594776867181,-2.134466161304934,0.5415282637495218,-3.9415600333138086,8.095336723708683e-5,0.0036670579717651966,Sí,
ENSG00000203747,2.608551061678087e-4,0,0.005264922742688449,365.5559573891701,4.276337598835781,0.704255783243531,6.072136999913037,1.2621917779008609e-9,7.514379862746656e-7,Sí,
ENSG00000203799,4.404578902706049e-4,0,0.009060939428196815,212.76211899567943,-1.8320344102417356,0.47119450725601203,-3.8880640203353316,1.0104697727055846e-4,0.004294725297383314,Sí,
ENSG00000203883,2.1225941484940089e-4,0,0.0025,52.37879241357252,2.8944321714403505,0.7691953451120398,3.762935111130648,1.6793078522371106e-4,0.00609380836056556,Sí,
ENSG00000203943,1.2769064685289725e-4,0,0.0025,186.83771885575692,-1.4765176894433114,0.5556530252528747,-2.657265635818965,0.007877734323685222,0.08296225351051806,Sí,
